"Flop:  [3♦, 7♠, Q♣]",2021-10-16T18:12:38.618Z,163440795861800
"Flop:  [8♣, A♣, J♣]",2021-10-16T18:10:49.193Z,163440784919300
"Flop:  [9♣, 8♣, 9♠]",2021-10-16T18:09:05.838Z,163440774583800
"Flop:  [3♣, 10♣, A♥]",2021-10-16T18:07:09.343Z,163440762934300
"Flop:  [8♠, 4♣, K♣]",2021-10-16T18:05:51.509Z,163440755150900
"Flop:  [4♣, 6♥, J♠]",2021-10-16T18:04:29.747Z,163440746974700
"Flop:  [K♠, 8♥, 5♦]",2021-10-16T18:03:10.532Z,163440739053200
"Flop:  [10♣, K♦, A♣]",2021-10-16T18:01:35.309Z,163440729530900
"Flop:  [4♣, 10♦, A♦]",2021-10-16T18:00:22.810Z,163440722281000
"Flop:  [9♦, 8♦, 7♠]",2021-10-16T17:59:28.713Z,163440716871300
"Flop:  [4♠, 4♥, Q♦]",2021-10-16T17:58:36.530Z,163440711653000
"Flop:  [5♠, 8♠, 3♣]",2021-10-16T17:56:24.361Z,163440698436100
"Flop:  [K♣, 3♦, J♠]",2021-10-16T17:55:42.632Z,163440694263200
"Flop:  [8♦, K♥, A♣]",2021-10-16T17:55:04.060Z,163440690406000
"Flop:  [6♠, K♣, 6♣]",2021-10-16T17:54:05.494Z,163440684549400
"Flop:  [K♦, Q♦, A♠]",2021-10-16T17:52:47.785Z,163440676778500
"Flop:  [Q♠, 2♠, A♠]",2021-10-16T17:51:49.608Z,163440670960800
"Flop:  [3♥, 9♦, K♠]",2021-10-16T17:49:26.197Z,163440656619700
"Flop:  [9♥, 6♣, 2♥]",2021-10-16T17:47:07.730Z,163440642773000
"Flop:  [10♦, 2♦, A♦]",2021-10-16T17:46:15.469Z,163440637546900
"Flop:  [2♦, 2♠, 4♥]",2021-10-16T17:44:03.894Z,163440624389400
"Flop:  [2♠, K♠, J♥]",2021-10-16T17:42:09.533Z,163440612953300
"Flop:  [5♦, 8♥, 3♣]",2021-10-16T17:40:00.819Z,163440600081900
"Flop:  [6♦, 3♣, 8♦]",2021-10-16T17:39:08.056Z,163440594805600
"Flop:  [Q♥, 2♦, 8♥]",2021-10-16T17:37:45.460Z,163440586546000
"Flop:  [5♣, 4♦, 10♦]",2021-10-16T17:36:25.414Z,163440578541400
"Flop:  [6♠, 5♣, A♦]",2021-10-16T17:34:59.744Z,163440569974400
"Flop:  [2♣, J♦, 5♣]",2021-10-16T17:30:59.370Z,163440545937000
"Flop:  [4♥, 2♣, 10♣]",2021-10-16T17:27:21.563Z,163440524156300
"Flop:  [5♥, K♣, 4♠]",2021-10-16T17:26:05.031Z,163440516503100
"Flop:  [Q♦, 2♥, A♦]",2021-10-16T17:25:26.371Z,163440512637100
"Flop:  [10♣, 7♣, J♠]",2021-10-16T17:24:09.784Z,163440504978400
"Flop:  [4♣, A♠, 3♠]",2021-10-16T17:23:10.180Z,163440499018000
"Flop:  [2♠, Q♥, J♦]",2021-10-16T17:21:41.692Z,163440490169200
"Flop:  [4♣, 6♦, 7♦]",2021-10-16T17:19:33.234Z,163440477323400
"Flop:  [Q♥, A♥, 8♣]",2021-10-16T17:17:56.919Z,163440467691900
"Flop:  [3♦, J♥, 2♠]",2021-10-16T17:17:17.593Z,163440463759300
"Flop:  [8♥, 8♣, A♣]",2021-10-16T17:15:53.275Z,163440455327500
"Flop:  [2♣, 3♦, 10♥]",2021-10-16T17:14:45.055Z,163440448505500
"Flop:  [A♥, 10♠, 6♦]",2021-10-16T17:13:26.826Z,163440440682600
"Flop:  [2♥, A♣, 9♠]",2021-10-16T17:11:22.173Z,163440428217300
"Flop:  [5♣, 10♥, Q♦]",2021-10-16T17:10:22.366Z,163440422236600
"Flop:  [A♠, 9♦, 2♠]",2021-10-16T17:08:26.543Z,163440410654300
"Flop:  [3♦, 2♦, 4♠]",2021-10-16T17:06:38.911Z,163440399891100
"Flop:  [7♣, J♠, Q♠]",2021-10-16T17:05:28.344Z,163440392834400
"Flop:  [4♠, 9♠, 3♦]",2021-10-16T17:04:01.548Z,163440384154800
"Flop:  [2♥, 2♠, 5♦]",2021-10-16T17:01:38.152Z,163440369815200
"Flop:  [Q♠, 5♣, 5♥]",2021-10-16T17:00:34.775Z,163440363477500
"Flop:  [2♥, 6♣, K♠]",2021-10-16T16:58:51.305Z,163440353130500
"Flop:  [5♥, 5♦, 9♦]",2021-10-16T16:57:20.128Z,163440344012800
"Flop:  [2♠, 2♥, 9♦]",2021-10-16T16:56:02.245Z,163440336224500
"Flop:  [J♦, 10♠, 9♥]",2021-10-16T16:52:37.017Z,163440315701700
"Flop:  [K♠, K♥, 2♥]",2021-10-16T16:51:48.625Z,163440310862500
"Flop:  [6♥, Q♥, J♥]",2021-10-16T16:50:54.015Z,163440305401500
"Flop:  [Q♥, A♠, 6♦]",2021-10-16T16:48:55.121Z,163440293512100
"Flop:  [6♥, Q♠, 2♣]",2021-10-16T16:47:21.232Z,163440284123200
"Flop:  [J♦, 6♣, 9♥]",2021-10-16T16:44:27.965Z,163440266796500
"Flop:  [9♦, 8♣, 6♠]",2021-10-16T16:41:48.675Z,163440250867500
"Flop:  [3♥, 4♣, Q♠]",2021-10-16T16:39:33.461Z,163440237346100
"Flop:  [K♥, 6♦, A♣]",2021-10-16T16:37:59.126Z,163440227912600
"Flop:  [2♣, 2♠, 9♦]",2021-10-16T16:36:29.378Z,163440218937800
"Flop:  [K♠, 6♥, Q♥]",2021-10-16T16:34:45.544Z,163440208554400
"Flop:  [J♥, A♥, K♣]",2021-10-16T16:33:17.201Z,163440199720100
"Flop:  [7♦, J♠, 8♠]",2021-10-16T16:31:17.847Z,163440187784700
"Flop:  [2♥, 6♥, 6♠]",2021-10-16T16:29:02.033Z,163440174203300
"Flop:  [8♦, K♥, A♥]",2021-10-16T16:28:16.888Z,163440169688800
"Flop:  [2♣, 5♠, A♦]",2021-10-16T16:26:18.426Z,163440157842600
"Flop:  [J♥, 8♣, K♠]",2021-10-16T16:24:43.214Z,163440148321400
"Flop:  [2♣, 8♠, 2♥]",2021-10-16T16:23:09.152Z,163440138915200
"Flop:  [A♦, A♣, 9♣]",2021-10-16T16:20:28.352Z,163440122835200
"Flop:  [5♦, 5♥, 5♣]",2021-10-16T16:19:18.725Z,163440115872500
"Flop:  [K♦, 5♣, 8♦]",2021-10-16T16:16:40.910Z,163440100091000
"Flop:  [7♥, J♥, 9♣]",2021-10-16T16:15:20.769Z,163440092076900
"Flop:  [5♥, Q♥, Q♣]",2021-10-16T16:13:18.435Z,163440079843500
"Flop:  [J♥, 3♥, 6♦]",2021-10-16T16:11:34.170Z,163440069417000
"Flop:  [3♦, 9♦, 7♥]",2021-10-16T16:09:39.625Z,163440057962500
"Flop:  [Q♦, 4♠, 3♦]",2021-10-16T16:07:45.136Z,163440046513600
"Flop:  [9♥, A♠, 8♥]",2021-10-16T16:06:27.899Z,163440038789900
"Flop:  [2♠, 10♦, 6♥]",2021-10-16T16:05:23.816Z,163440032381600
"Flop:  [K♥, 8♥, 9♠]",2021-10-16T16:02:56.122Z,163440017612200
"Flop:  [3♠, J♣, J♦]",2021-10-16T16:00:59.120Z,163440005912000
"Flop:  [Q♠, 5♥, 3♠]",2021-10-16T15:59:40.363Z,163439998036300
"Flop:  [6♠, 3♦, J♦]",2021-10-16T15:57:46.307Z,163439986630700
"Flop:  [4♥, 5♦, 4♦]",2021-10-16T15:55:14.583Z,163439971458300
"Flop:  [8♦, 6♠, 2♥]",2021-10-16T15:53:10.648Z,163439959064800
"Flop:  [Q♠, 3♠, J♣]",2021-10-16T15:49:34.571Z,163439937457100
"Flop:  [6♣, 6♦, 2♥]",2021-10-16T15:48:48.304Z,163439932830400
"Flop:  [4♠, 4♦, 9♦]",2021-10-16T15:46:21.562Z,163439918156200
"Flop:  [4♥, 9♣, Q♥]",2021-10-16T15:45:17.912Z,163439911791200
"Flop:  [6♠, 3♦, 10♥]",2021-10-16T15:43:49.829Z,163439902982900
"Flop:  [9♥, 6♥, 4♠]",2021-10-16T15:42:26.475Z,163439894647500
"Flop:  [8♦, 10♦, 5♠]",2021-10-16T15:41:07.191Z,163439886719100
"Flop:  [J♥, Q♦, 8♠]",2021-10-16T15:38:08.745Z,163439868874500
"Flop:  [8♣, K♣, 3♥]",2021-10-16T15:37:00.561Z,163439862056100
"Flop:  [6♥, K♠, 5♠]",2021-10-16T15:33:59.004Z,163439843900400
"Flop:  [9♣, 5♠, 7♠]",2021-10-16T15:32:33.888Z,163439835388800
"Flop:  [8♥, Q♦, 6♠]",2021-10-16T15:31:00.163Z,163439826016300
"Flop:  [Q♠, 9♥, 7♣]",2021-10-16T15:29:05.747Z,163439814574700
"Flop:  [2♥, 8♥, A♣]",2021-10-16T15:27:36.510Z,163439805651000
"Flop:  [9♦, J♦, 3♦]",2021-10-16T15:26:38.787Z,163439799878700
"Flop:  [Q♠, 6♠, 5♣]",2021-10-16T15:25:16.982Z,163439791698200
"Flop:  [5♥, 10♦, 3♦]",2021-10-16T15:24:00.846Z,163439784084600
"Flop:  [A♣, A♠, 2♥]",2021-10-16T15:22:33.485Z,163439775348500
"Flop:  [2♣, 3♥, 5♠]",2021-10-16T15:20:45.160Z,163439764516000
"Flop:  [J♠, Q♣, 3♠]",2021-10-16T15:19:05.806Z,163439754580600
"Flop:  [3♣, 8♥, 3♠]",2021-10-16T15:17:06.397Z,163439742639700
"Flop:  [9♥, 10♦, 9♦]",2021-10-16T15:15:21.098Z,163439732109800
"Flop:  [6♥, 10♥, A♠]",2021-10-16T15:13:55.198Z,163439723519800
"Flop:  [9♥, 5♥, 2♥]",2021-10-16T15:12:14.209Z,163439713420900
"Flop:  [4♦, 2♠, 7♥]",2021-10-16T15:11:33.399Z,163439709339900
"Flop:  [Q♠, 7♦, 5♣]",2021-10-16T15:10:34.663Z,163439703466300
"Flop:  [4♠, Q♥, 5♥]",2021-10-16T15:09:40.864Z,163439698086400
"Flop:  [8♦, 3♠, 8♥]",2021-10-16T15:08:04.641Z,163439688464100
"Flop:  [9♥, 5♣, Q♥]",2021-10-16T15:05:55.162Z,163439675516200
"Flop:  [5♣, Q♣, K♣]",2021-10-16T15:03:35.729Z,163439661572900
"Flop:  [J♥, 10♦, 8♦]",2021-10-16T15:01:04.996Z,163439646499600
"Flop:  [A♦, J♥, 3♥]",2021-10-16T15:00:00.781Z,163439640078100
"Flop:  [K♥, J♣, 4♣]",2021-10-16T14:57:55.437Z,163439627543700
"Flop:  [5♣, 2♠, 8♦]",2021-10-16T14:56:49.460Z,163439620946000
"Flop:  [9♣, J♦, 3♥]",2021-10-16T14:54:27.663Z,163439606766300
"Flop:  [2♥, J♦, Q♦]",2021-10-16T14:53:00.192Z,163439598019200
"Flop:  [K♠, J♦, Q♦]",2021-10-16T14:51:45.241Z,163439590524100
"Flop:  [J♠, Q♦, 10♣]",2021-10-16T14:50:12.822Z,163439581282200
"Flop:  [9♥, 2♠, Q♦]",2021-10-16T14:49:04.521Z,163439574452100
"Flop:  [K♣, 8♠, J♥]",2021-10-16T14:47:15.795Z,163439563579500
